"","B0101","B0102","B0103","B0104","B0105","B0106","B0204","B0205","B0206","B0207","B0208","B0209","B0210","B0211","B0212","B0213","B0214","B0215","B0216","B0217","B0218","B0219","B0220","B0221","B0302","B0303","B0307","B0309","B0310","B0401","B0402","B0403","B0501","B0604","B0605","B0601","B0602","B0603","B0701","B0702","B0703","B0704","B0705","B0706","B0707","B0708","B0709","B0710","B0711","B0712","B0801","B0802","B0803","B0804","B0901","B0902","B0903","B1004","B1006","B1008","B1011","B1012","B1014","B1021","B1022","B1024","B1026","B1028","B1029","B1041","B1042","D0101","D0102","D0103","D0104","D0201","D0202","D0203","D0204","D0205","D0206","D0207","D0208","D0209","D0210","D0211","D0212","D0213","D0301","D0302","D0303","D0304","D0305","D0306","D0307","D0308","D0309","D0310","D0401","D0402","D0403","D0404","D0405","D0406","D0407","D0408","D0501","D0502","D0503","D0504","D0505","D0506","D0507","D0508","D0509","D0510","D0511","D0512","D0513","D0516","D0517","D0518","D0601","D0602","D0603","D0604","D0606","D0607","D0608","D0609","D0610","D0611","D0612","D0613","D0701","D0702","D0704","D0705","D0706","D0708","D0709","D0801","D0802","D0804","D0805","D0806","D0807","D0808","D0809","D0810","D0811","D0812","D0813","D0814","D0815","D0816","D0817","D0818","D0819","D0901","D0902","D0903","D0904","D0905","D0906","D0907","D0908","D0910","D0911","D0912"
"bin_s27.vmb32",0.75,0.94,1,1,0.5,1,0.67,0.8,1,0.57,1,1,1,0.83,1,1,0,1,0.67,0.5,0.5,0,0.33,1,0,0.2,1,0.5,0,0.11,0.29,0.6,0.33,0,0,1,1,1,1,1,0,1,0.5,0.67,0.8,0.57,0,0.43,0.89,0.11,0.5,1,1,0.67,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,1,0.67,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0.17,0,0,0,0,0,0,0,0.08,0,0,0,0,1,1,0,0,0.67,0.5,0.8,0.24,1,0.5,1,0,0.43,0.5,0,0.5,0,0,0.33,0.5,0.25,0.25,0,0.33,0,0,0.5,1,1,0.5,1,0.5,0,0.5,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"bin_s27.vmb37",0.12,0.89,1,0.5,0.75,0.75,0.33,0,1,0.14,0,0.2,0,0.17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.67,0.67,0.33,1,1,0.3,0.3,0.19,0.12,0.33,0,0,0.17,0,0.4,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.15,0.31,0.29,0.25,0.12,0.29,0.83,0.29,0.23,0.25,0.25,0.14,0.5,0,0.33,0,0,0.5,1,0,0,0.75,0,0,0,0,0.08,0,0,0,0,1,1,0,0,0.33,0,0.11,0.04,0,0,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0.33,0,0,0,0,0,1,0.5,0.5,0,0.25,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bin_s27.vmb3_sub",1,0.83,1,1,1,1,1,0.8,0.5,0.86,0.5,1,1,1,1,1,1,1,0.92,0.5,0.5,0,0.33,0.8,0,0.6,0.5,0,0,1,0.67,0.67,0,1,0,1,1,1,1,1,0,0.66,0.33,0.33,0.8,0,0,0,0.22,0.33,0,1,1,1,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62,0.47,0.4,0.15,0.15,0.29,0.42,0,0,0,0.14,0.23,0.62,0,0.14,0,0,0.67,0,0,1,0,0,0,0,0.33,0,0,0,0.08,0,0,0,0,1,1,0,0,0.33,0.5,0.22,0.3,0.75,0,1,1,1,0,0,0.5,0.75,0,0,0.5,0.5,0,0,0,1,0,0,1,0,0.33,0.5,0.16,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bin_s28.cct16",1,0.94,1,1,1,1,1,0.8,1,0.57,1,1,1,0.83,1,1,0.25,0.95,0.92,1,1,0.25,0.17,1,0,0.2,0,0.5,0,1,0.67,0.67,0,1,0,0.91,1,1,0.83,1,0.33,1,1,1,0.8,0.86,0,0,0.11,1,0,1,1,0.67,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0.5,1,0.73,0.8,0.07,0.08,0,0.42,0,0,0,0.14,0.15,0.12,0,0.14,0,0,0,0,0,0,0.17,0,0,0.25,0,0,0,0,0.08,0,0,0,0,0,1,0.5,0,0.67,0.5,0.33,0.32,0.5,0,0.5,0.25,0,1,0.5,0.5,0,0,0,0.5,0,0,0,0,0,0,0,1,0,0.5,0.5,0.5,0,0.5,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.14,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0
"bin_s28.cct47",0.12,0.89,1,0.5,0.75,0.75,0.33,0,1,0.14,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.67,0.5,0.33,1,1,0.3,0.3,0.19,0.12,0.33,0,0,0.17,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.07,0.08,0.29,0.58,0.06,0.14,0.17,0.21,0.15,0.12,0,0.14,0.33,0,0.33,0,0,0.5,0,0,0,0.75,0.33,0.04,0,0,0.08,0.33,0,0,0,1,0,0,0,0.33,0,0.11,0.04,0,0,0.5,0,0,0,0,0,0,0,0,1,0,0.25,0,0.33,0,0,0,0,0,1,0.5,0.5,0,0.25,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"bin_s28.cct48",0.94,0.72,1,0.5,1,1,0.33,0.6,1,0.71,0.25,0.4,0,1,0.67,0,1,0,0,0.25,0.25,0,0.17,0.6,0,0.2,0.5,0,0,0.11,0.2,0.6,0.33,1,0,0.95,0.95,0.84,0.88,0.75,0,1,0.33,0.4,0.55,0,0,0.18,0.44,0.11,0,1,0.6,1,0.33,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.07,0.2,0.07,0.08,0,0.42,0,0,0,0.14,0.15,0.12,0,0.14,0,0,0,0,0,0.5,0,0,0,0.25,0,0,0,0.17,0.08,0,0,0,0,1,1,1,0,0.33,0.5,0.53,0.08,0.5,0,1,1,0.57,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.25,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.31,0,0,0,1,0,0,0,0,0,1,0,1,0,0
"bin_s28.mtb8",0.12,0.89,1,0.5,0.5,0.75,0,0.4,0.33,0.29,0,0,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,1,0.67,0.33,0,1,0,0.15,0.5,0.08,0.5,1,0,0,0,0.2,0.17,0,0,0,0.83,0.17,0,0,0.6,1,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.08,0,0.42,0,0,0,0.14,0.15,0.12,0,0.14,0,0,0,0,0,0.5,0,0,0,0.25,0,0,0,0,0.08,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bin_s28.mxb31",0,0,1,1,0.5,0.5,0,0,0.5,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.33,0,0.12,0.33,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bin_s28.vmb7",1,1,1,0.5,1,1,0.33,1,1,0.86,0.75,1,1,1,1,1,0,0.83,0.83,0.5,0.5,0,0.17,1,0,0.4,0.5,0.5,0,1,0.67,0.67,0.33,1,0,0.47,1,0.42,0.12,0.33,0,0,0,0.33,0.8,0.14,0,0,0.11,0,0,1,1,1,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.07,0.31,0.43,0.58,0.12,0.86,0.33,0.21,0.23,0.25,0.38,0.86,0.5,0.25,0.67,0,0,0.5,0,0,0,0.75,0.67,0.04,0,0,0.08,0.33,0,0,0,1,1,0,0,0,0,0,0.04,0.5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.33,0,0,0,0,0,0.5,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,1,0,0,0,0,0,1,1,0,0,0
"bin_s3.mtb7",0.12,0,1,0.5,0.75,0.75,0,0,1,0,0,0,0,0,0.33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.67,0.5,0.5,1,1,0.17,0.33,0.1,0.12,0.33,0,0,0.17,0,0.6,1,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0,0.06,0.14,0.17,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.33,0,0,0,0.08,0,0,0,0,1,0,0,0,0.33,0,0.06,0.04,0.33,0,0,1,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,1,0.5,0.5,0,0.25,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"bin_s31.cct37_sub",0.88,0.67,0,1,1,0.75,1,1,1,0.71,1,1,1,0.89,1,1,1,0.78,0.92,1,1,0.25,0.33,0.75,1,0.4,0,0,0,0.5,0.33,0.67,0.33,1,0,0.96,1,1,0.67,1,0.33,1,0.83,0.67,0.95,0.71,0,0,0.11,0.44,0,1,1,1,0,0.25,0,0.17,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0.67,0.75,0.67,0.8,0.07,0.08,0,0.75,0,0,0,0.14,0.15,0.12,0,0.14,0,0,0,0,0,0,0.2,0,0,0.25,0,0.16,0.13,0.35,0.58,0,0,0.06,0,0,1,0.5,0,0.33,0.5,0.89,0.32,0.33,0,1,0.25,0,0,0,0.5,0.5,1,0.33,0,0,0,0,0,0,0,0,1,1,0,1,0.16,0,0,0,0.67,0.67,0,0.16,0,1,0,0,0,0,0.17,0,0,0,0.14,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"bin_s34.cct25",1,0.89,1,1,1,1,1,1,1,0.86,1,1,1,1,1,1,1,1,1,1,1,0.5,0,1,1,0.4,1,0.5,0,1,0.67,0.67,1,1,1,1,1,1,1,1,0.67,1,1,1,1,0.14,0,0.57,1,1,0.5,1,1,1,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,1,0.73,1,0.07,0.08,0.29,0.75,0,0,0,0.14,0.15,0.12,0,0.14,0,0,0.33,0,0.5,1,0.17,0,0,0.5,0,0,0,0,0.08,0,0,0,0,1,1,0.5,1,0.67,0.5,0.39,0.32,1,0,1,1,1,0,0,0.5,1,0,0.33,1,0.75,0.25,0,0,0,0,0,1,0,1,1,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
"bin_s34.cct27",0.12,0,1,0,0.75,0.5,0,0,0.33,0,0.25,0.2,0,0,0.33,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0.67,0.33,0.33,0,0,0,0,0.33,0,0.12,0.25,0.33,0.16,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.15,0.29,0.42,0.06,0,0.33,0.29,0.23,0.25,0,0.14,0,0,0,0,0,0.5,0,0,0,0.25,0.67,0,0,0,0.08,0,0,0,0,1,0,0,0,0.33,0.5,0.17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.25,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"bin_s34.cct50",1,0.94,1,1,1,1,1,1,1,0.86,1,1,1,1,1,1,1,0.92,1,0.5,0.67,0.25,1,1,1,0.4,0.5,1,0,0.5,0.67,0.67,0.5,1,0,1,1,1,1,1,0.67,0.84,0.67,0.67,1,0.29,0,0.04,0.22,0.56,0,1,1,1,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,1,0.67,0.8,0.07,0.08,0,0.42,0,0,0,0.14,0.15,0.12,0,0.14,0,0,0.33,0,0.5,0.5,1,0,0,0.5,0,0,0,0,0.08,0,0,0,0,1,1,0.5,0,0.67,0.5,1,0.36,1,0,1,1,0.14,1,0.5,0.5,0.25,1,1,1,1,0.75,0.33,0,0,0,0.5,1,1,1,1,0.5,0,0.75,0,0,0,0,0,0,0.2,0,0,0,0,0.04,0.25,0,0.33,0.49,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"bin_s34.cct52",1,0.94,1,1,1,1,0.33,1,1,0.86,1,1,1,1,1,1,0.25,1,1,0.5,0.5,0,0.33,1,0.5,0.4,1,0.5,0,0.11,0.29,0.4,0,1,0,1,1,0.8,1,1,0,1,1,0.33,1,1,0,0.29,0.78,0.11,0.5,1,1,1,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,1,0.67,0.8,0.07,0.08,0,0.42,0,0,0,0.14,0.15,0.12,0,0.14,0,0,0.33,0,0,0,0.17,0,0,0,0.67,0,0,0,0.08,0,0,0,0,1,1,0.5,0,0.67,0.5,0.39,0.5,1,0,1,0.25,0.14,0.5,0.25,1,0,0,0.33,1,0,0,0,0.33,0,0,0.5,1,1,0.5,1,0.5,0,0.5,0,0,0,0,0,0,0.47,0,0,0,0,0,0,0,0,0.14,0.17,0,0,0,0,0,0,0,0,1,1,0,0,0
"bin_s34.mtb22_sub",0,0,1,0.5,0.5,0.5,0,0,0.33,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.33,0.33,0,1,0,0,0.33,0,0.12,0.33,0,0.25,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.33,0,0.16,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bin_s34.mxb8",0.12,0,1,0.5,0.5,0.25,0,0,0.33,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.33,0.33,0,0,0,0.1,0.33,0.06,0.12,0.33,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bin_s35.cct57_sub",0.12,0.39,1,0,0.5,0.25,0.33,0.4,1,0.43,0.25,0.4,0,0.78,0.33,0.5,0,0.06,0,0.25,0.25,0,0,0,0,0.4,1,0,0,1,0.67,0.67,0,1,0,0.06,0.33,0,0.12,0.33,0,0,0,0.33,0.8,0.14,0,0,0,0.22,0,1,1,1,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.31,0.43,0.75,0.12,0.86,0.83,0.21,0.23,0.25,0.62,0.14,0.83,0.5,0.33,0,0.5,0.5,0,0.75,0.25,0.5,0.33,0,0,0,0.08,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0.14,0,0,0,0,0,0,1,0,0.25,0,0.33,0,0,0,0,0,0,1,0.16,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0
"bin_s36.mtb18",1,0.94,1,1,1,1,0,0,1,0.14,0.25,0.4,0,0.11,0.33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.67,0.67,0,1,0,0.33,0.33,0.1,0.12,0.33,0,0.16,0,0,0.8,0,0,0.5,0.78,0.11,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0.07,0.15,0.43,0.42,0.31,0.14,0.83,0.21,0.15,0.25,0.25,0.14,0,0.25,0.33,0,0,1,0,0,0,0.75,0.33,0.04,0,0,0.08,0.33,0,0,0,1,1,0,0,0.67,0.5,0.22,0.04,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.5,0.5,0,0.25,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0
"bin_s36.mxb13",1,0.89,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0.67,1,0,0.4,1,0,0,1,1,0.67,0.67,1,1,0.88,1,1,1,1,0.33,0.84,1,1,1,1,0,0.57,1,1,0.5,1,1,1,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,1,0.73,0.6,0.07,0.15,0,0.75,0.06,0,0.83,0.21,0.15,0.25,0,0.14,0,0.25,0,0,0.5,1,0.5,0.25,0,1,0.5,0.04,0,0,0.08,0.33,0,0,0,1,1,0.5,1,0.67,0.5,0.22,0.32,1,0,1,0,1,0,0,0.5,1,1,0,1,0,0.25,0,0,0,0,0.5,1,1,1,1,0.5,0,0.75,0,0.33,0.33,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
"bin_s36.vmb0",1,0.94,1,1,1,1,0.33,1,1,0.86,1,1,1,1,0.67,0.5,1,1,0.67,0.5,0.5,0,0.17,0.4,0,0.2,0.5,0,0,0.11,0.2,0.6,0.33,1,1,0.97,0.97,1,0.88,1,0,1,0.5,0.67,0.9,0.43,0,0.32,0.56,0.11,0,1,1,1,0.33,0,0,0.17,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0.75,0.47,0.6,0.07,0.08,0,0.42,0,0,0,0.14,0.15,0.12,0,0.14,0,0,0,0,0,0.5,0,0,0,0.25,0,0,0,0,0.08,0,0.33,0.01,0,1,1,0.5,0,0.67,0.5,0.7,0.28,0.5,0,1,1,0.57,0,0,0.5,0.5,1,0,0.5,0,0.25,0,0,0,0,0,1,0,0.67,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0,0,0,1,0,0,0,0,1,0,1,0,0
"bin_s4.cct33",0,0,1,0.5,0.25,0.25,0,0,0.33,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0.12,0.33,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bin_s4.vmb27",1,0.94,0,0.5,0.5,0.75,0,0.6,1,0.43,0.25,0.4,0,0.89,0,0.5,0,0.06,0,0,0,0,0,0,0,0.4,1,0,0,1,0.67,0.67,0,1,0,0.38,0.38,0.67,1,0.33,0,0.16,1,0,1,0,0.25,0,0,0,0,1,1,1,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.38,0.57,0.42,0.44,0.86,1,0.29,0.23,0.25,0,0.86,0.5,0,0.67,0,0,0,0,0,0,0.75,0,0,0,0,0.08,0,0,0,0,1,1,0,0,0.67,0.5,0.17,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.33,0,0,0,0,0,1,0.5,0.5,0.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"bin_s4.vmb43",1,0.94,1,0,0.75,0.75,0.67,1,1,0.71,1,1,1,0.83,1,1,0,1,0,0.5,0.5,0,0.33,1,0,0.4,1,0,0,1,0.67,0.5,0.33,0,0,0.14,1,0.04,0.12,0.33,0,0.16,0.17,0.5,0.2,1,0,0,0.11,0,0,1,1,1,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.19,0.46,0.43,0.67,0.25,0.86,0.83,0.43,0.38,0.38,0.38,0.14,0.67,0,0,0,0,0.5,1,0,0.75,0,0,0,0,0,0.08,0,0,0,0,1,0,0,0,0.67,0.5,0.17,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0.25,0,0.33,0,0,0,0,0,1,0.5,0.5,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0
"bin_s5.cct76",1,0.94,1,1,1,1,0.33,1,1,0.86,1,1,1,1,1,1,1,1,0.83,0.5,0.5,0,0.17,1,0,0.4,0,0.5,0,0.11,0.29,0.6,0,1,0,1,1,1,1,1,0,0.34,1,0.33,0.8,0.71,0,0.43,0.89,0.11,0.5,1,1,1,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,1,0.67,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0.17,0,0,0.25,0,0,0,0,0.08,0,0,0,0,1,1,0.5,0,0.67,0.5,0.39,0.04,0.5,0,1,1,0,0,0,0,0,0,0.33,1,0,0,0,0.33,0,0,0,0,0,0.5,1,0.5,0,0.5,0,0,0,0,0,0,0.47,0,0,0,0,0,0,0,0,0.14,0.17,0,0,1,0,0,0,1,0,1,1,0,1,0
"bin_s6.cct39",1,0.89,1,1,1,0.75,1,1,1,1,1,1,0.83,0.89,1,1,0.5,1,0.92,1,1,0.5,0.33,1,0.5,0.4,1,0,0,1,0.67,0.75,0.5,0,1,0.97,1,1,1,1,0,1,0.67,0.67,1,0.09,0,0.14,0.22,0.78,1,1,1,1,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,1,0.67,0.8,0.07,0.08,0,0.75,0,0,0,0.14,0.15,0.12,0,0.14,0,0,0,0,0,0,0.17,0,0,0.25,0,0,0,0,0.08,0,0,0,0,1,1,0,1,0.67,0.5,0.86,0.52,1,0,0.5,0.5,0,1,0,1,0.5,0,0.33,0.5,0.33,0.25,0,0,0,0.5,0,1,1,1,0,0.5,0,0.5,0,0.33,0.33,0,0,0,0.67,0,0,0,0,0,0,0,0,0.49,0.5,0,0,0,0,1,0,0,0,1,0,1,0,0
"bin_s6.mtb27",0.42,0.17,1,0.5,0,0.25,0.33,0,0,0.14,0.75,0.8,0.5,0.43,0.14,0,0.5,0,0,0.25,0.5,0,0,0.25,0.5,0,1,0,0,0.11,0.29,0.33,0,0,0,0.4,0.4,0.4,0.33,0.25,0.33,0.16,0.33,0.4,0.4,0.08,0,0.21,0.44,0,0.5,1,0.6,0.33,0,0.25,0,0.17,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0.38,0.2,0.6,0.07,0.08,0,0.42,0,0,0,0.14,0.15,0.12,0,0.14,0,0,0,0,0,0,0.17,0,0.5,0,0,0.04,0,0,0.08,0.33,0,0,0,1,1,0.5,0,0.33,0.5,0.64,0.28,1,0,1,0.5,0.14,0,0,0.5,0.5,0,0.67,0,0.33,0.5,0.33,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.34,0.17,0,0,0,0,0,0,0,0,0,1,0,0,0
"bin_s6.mtb9",1,0.89,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.92,1,1,0.5,0.33,1,1,0.4,1,0,0,1,1,0.67,1,0,1,1,1,1,1,1,0.67,1,1,1,1,0.14,0,0.57,1,1,0.5,1,1,1,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,1,0.73,1,0.07,0.08,0,0.75,0.12,0.14,0.17,0.21,0.15,0.12,0.25,0.14,0,0.25,0.33,0,0.5,1,0.5,0,1,1,1,0,0,0,0.08,0,0,0,0,1,1,0.5,1,0.67,0.5,0.39,0.32,1,0,1,1,1,0.5,0,0.5,1,1,0.33,1,1,0.25,0,0.33,0,0,0,1,1,1,1,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.02,0,0,0,0,1,0,0,0,1,0,1,0,0
"bin_s6.vmb19",0.88,0.83,1,1,0.75,1,0.67,0.6,1,0.57,1,1,0.67,0.83,1,1,1,0.83,0.92,1,1,0.25,0,1,0,0.4,0,0,0,1,0.67,0.67,0.33,0,0,1,1,0.75,1,1,0,1,0.5,1,0.8,0.86,0,0.14,0.33,0.56,0,1,1,0.67,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0.07,0.08,0,0.42,0,0,0,0.14,0.15,0.12,0,0.14,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.08,0,0,0,0,1,1,0.5,0,0.67,0.5,0.22,0.71,0.5,0,0.5,1,0,0,0,1,0.5,0,0,0.5,0.6,0.25,0,0,0,0.5,0,0,1,0.5,1,0.5,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
