"","sample_id","diversity","individual_id","treatment","cage","sex","species"
"1","M10_COLD",94.2483409749332,"M10","Cold",1,"MALE","AS"
"2","M10_DIET",125.331802663615,"M10","Diet",1,"MALE","AS"
"3","M10_HEAT",93.1791275677955,"M10","Heat",1,"MALE","AS"
"4","M10_POST",89.4362692348572,"M10","Acc",1,"MALE","AS"
"5","M10_PRE",73.7476517361379,"M10","Day1",1,"MALE","AS"
"6","M11_COLD",91.1487988601628,"M11","Cold",3,"FEMALE","AS"
"7","M11_DIET",78.231100724895,"M11","Diet",3,"FEMALE","AS"
"8","M11_HEAT",108.859022867189,"M11","Heat",3,"FEMALE","AS"
"9","M11_POST",123.061799771121,"M11","Acc",3,"FEMALE","AS"
"10","M11_PRE",118.957980636671,"M11","Day1",3,"FEMALE","AS"
"11","M12_DIET",30.3683512692735,"M12","Diet",4,"MALE","AS"
"12","M12_HEAT",73.355901223585,"M12","Heat",4,"MALE","AS"
"13","M12_POST",53.1157569025842,"M12","Acc",4,"MALE","AS"
"14","M12_PRE",76.2999799499433,"M12","Day1",4,"MALE","AS"
"15","M13_COLD",48.1969135700646,"M13","Cold",4,"MALE","AS"
"16","M13_DIET",76.1166646836786,"M13","Diet",4,"MALE","AS"
"17","M13_HEAT",77.9127906700136,"M13","Heat",4,"MALE","AS"
"18","M13_POST",63.7740317653909,"M13","Acc",4,"MALE","AS"
"19","M13_PRE",58.4495791660589,"M13","Day1",4,"MALE","AS"
"20","M14_COLD",46.281789717727,"M14","Cold",4,"MALE","AS"
"21","M14_DIET",31.2173468221864,"M14","Diet",4,"MALE","AS"
"22","M14_HEAT",74.4968667270678,"M14","Heat",4,"MALE","AS"
"23","M14_POST",93.7998082415508,"M14","Acc",4,"MALE","AS"
"24","M14_PRE",64.7459324909931,"M14","Day1",4,"MALE","AS"
"25","M15_COLD",44.1492714151116,"M15","Cold",4,"MALE","AS"
"26","M15_DIET",37.1320506393304,"M15","Diet",4,"MALE","AS"
"27","M15_HEAT",38.4516182059418,"M15","Heat",4,"MALE","AS"
"28","M15_POST",106.08952415236,"M15","Acc",4,"MALE","AS"
"29","M15_PRE",62.9683574436868,"M15","Day1",4,"MALE","AS"
"30","M16_COLD",101.630766873644,"M16","Cold",3,"FEMALE","AS"
"31","M16_DIET",72.5468117246555,"M16","Diet",3,"FEMALE","AS"
"32","M16_HEAT",74.0783186531465,"M16","Heat",3,"FEMALE","AS"
"33","M16_POST",64.114986485087,"M16","Acc",3,"FEMALE","AS"
"34","M16_PRE",66.6965373898123,"M16","Day1",3,"FEMALE","AS"
"35","M17_COLD",83.0997060998937,"M17","Cold",3,"FEMALE","AS"
"36","M17_DIET",45.0779227607471,"M17","Diet",3,"FEMALE","AS"
"37","M17_HEAT",83.2595858683564,"M17","Heat",3,"FEMALE","AS"
"38","M17_POST",74.4592174716822,"M17","Acc",3,"FEMALE","AS"
"39","M18_COLD",92.8427667627134,"M18","Cold",3,"FEMALE","AS"
"40","M18_DIET",50.5420819712319,"M18","Diet",3,"FEMALE","AS"
"41","M18_HEAT",91.3120084425012,"M18","Heat",3,"FEMALE","AS"
"42","M18_POST",106.236932974948,"M18","Acc",3,"FEMALE","AS"
"43","M18_PRE",71.421657898439,"M18","Day1",3,"FEMALE","AS"
"44","M19_COLD",56.5981171085741,"M19","Cold",2,"MALE","AS"
"45","M19_DIET",64.8798743768188,"M19","Diet",2,"MALE","AS"
"46","M19_HEAT",75.8560603709763,"M19","Heat",2,"MALE","AS"
"47","M19_POST",51.4443667727465,"M19","Acc",2,"MALE","AS"
"48","M19_PRE",45.7579194481512,"M19","Day1",2,"MALE","AS"
"49","M1_COLD",45.7502400078571,"M1","Cold",1,"MALE","AS"
"50","M1_DIET",86.8393355049767,"M1","Diet",1,"MALE","AS"
"51","M1_HEAT",64.1615407370504,"M1","Heat",1,"MALE","AS"
"52","M1_POST",42.6414350366747,"M1","Acc",1,"MALE","AS"
"53","M1_PRE",63.1521983141303,"M1","Day1",1,"MALE","AS"
"54","M21_COLD",105.271846800755,"M21","Cold",4,"MALE","AS"
"55","M21_DIET",86.6975119153669,"M21","Diet",4,"MALE","AS"
"56","M21_POST",101.432115668465,"M21","Acc",4,"MALE","AS"
"57","M21_PRE",87.8409332565866,"M21","Day1",4,"MALE","AS"
"58","M22_COLD",87.0742008794467,"M22","Cold",2,"MALE","AS"
"59","M22_DIET",82.2403581103078,"M22","Diet",2,"MALE","AS"
"60","M22_HEAT",62.8484101070211,"M22","Heat",2,"MALE","AS"
"61","M22_POST",31.5940163221972,"M22","Acc",2,"MALE","AS"
"62","M22_PRE",75.7914177432641,"M22","Day1",2,"MALE","AS"
"63","M24_COLD",78.6540818195794,"M24","Cold",5,"MALE","AS"
"64","M24_DIET",38.7309376510675,"M24","Diet",5,"MALE","AS"
"65","M24_HEAT",56.5951882988033,"M24","Heat",5,"MALE","AS"
"66","M24_POST",55.5836194645583,"M24","Acc",5,"MALE","AS"
"67","M24_PRE",49.677890881725,"M24","Day1",5,"MALE","AS"
"68","M25_COLD",62.1301621898038,"M25","Cold",5,"MALE","AS"
"69","M25_DIET",70.1678289293362,"M25","Diet",5,"MALE","AS"
"70","M25_HEAT",46.9616937092562,"M25","Heat",5,"MALE","AS"
"71","M25_POST",53.712416439459,"M25","Acc",5,"MALE","AS"
"72","M25_PRE",52.4657794432838,"M25","Day1",5,"MALE","AS"
"73","M2_COLD",45.6074765828558,"M2","Cold",1,"MALE","AS"
"74","M2_DIET",88.3011061542936,"M2","Diet",1,"MALE","AS"
"75","M2_HEAT",53.247902804545,"M2","Heat",1,"MALE","AS"
"76","M2_POST",66.3321776195116,"M2","Acc",1,"MALE","AS"
"77","M2_PRE",87.7918599779623,"M2","Day1",1,"MALE","AS"
"78","M3_COLD",61.5250805480984,"M3","Cold",1,"MALE","AS"
"79","M3_DIET",70.6827846479377,"M3","Diet",1,"MALE","AS"
"80","M3_HEAT",53.5177646208807,"M3","Heat",1,"MALE","AS"
"81","M3_POST",81.5729390610131,"M3","Acc",1,"MALE","AS"
"82","M3_PRE",62.8310041339619,"M3","Day1",1,"MALE","AS"
"83","M4_COLD",83.7754950783237,"M4","Cold",1,"MALE","AS"
"84","M4_DIET",39.2091854661537,"M4","Diet",1,"MALE","AS"
"85","M4_HEAT",99.4277583453003,"M4","Heat",1,"MALE","AS"
"86","M4_POST",82.9919880698307,"M4","Acc",1,"MALE","AS"
"87","M4_PRE",59.0123430929559,"M4","Day1",1,"MALE","AS"
"88","M6_COLD",116.364982508659,"M6","Cold",3,"FEMALE","AS"
"89","M6_DIET",84.62471639146,"M6","Diet",3,"FEMALE","AS"
"90","M6_HEAT",56.3519477266876,"M6","Heat",3,"FEMALE","AS"
"91","M6_POST",81.952989846478,"M6","Acc",3,"FEMALE","AS"
"92","M6_PRE",43.0716811131559,"M6","Day1",3,"FEMALE","AS"
"93","M7_COLD",67.3482079191474,"M7","Cold",2,"MALE","AS"
"94","M7_DIET",15.075064902316,"M7","Diet",2,"MALE","AS"
"95","M7_HEAT",99.1575872970058,"M7","Heat",2,"MALE","AS"
"96","M7_PRE",34.5974722355001,"M7","Day1",2,"MALE","AS"
"97","M8_COLD",77.5681560645884,"M8","Cold",2,"MALE","AS"
"98","M8_DIET",59.9187782944133,"M8","Diet",2,"MALE","AS"
"99","M8_POST",83.2279130110348,"M8","Acc",2,"MALE","AS"
"100","M8_PRE",83.0526308829676,"M8","Day1",2,"MALE","AS"
"101","M9_COLD",80.05080528164,"M9","Cold",2,"MALE","AS"
"102","M9_DIET",69.6024071366951,"M9","Diet",2,"MALE","AS"
"103","M9_HEAT",96.5808231047442,"M9","Heat",2,"MALE","AS"
"104","M9_POST",91.2553842035179,"M9","Acc",2,"MALE","AS"
"105","M9_PRE",15.0322420411658,"M9","Day1",2,"MALE","AS"
"106","COLD_S2",7.46498182103912,"S2","Cold",1,"MALE","CR"
"107","COLD_S4",12.2911902519069,"S4","Cold",3,"MALE","CR"
"108","COLD_S5",10.7117059257385,"S5","Cold",2,"FEMALE","CR"
"109","COLD_S6",14.7819765712108,"S6","Cold",4,"FEMALE","CR"
"110","DIET_S5",10.4338154345045,"S5","Diet",2,"FEMALE","CR"
"111","DIET_S6",12.2848186957491,"S6","Diet",4,"FEMALE","CR"
"112","DIET_S9",6.66009816604348,"S9","Diet",1,"MALE","CR"
"113","HEAT_S3",6.84221539736927,"S3","Heat",2,"FEMALE","CR"
"114","HEAT_S4",10.9176306464734,"S4","Heat",3,"MALE","CR"
"115","HEAT_S5",14.4469506114582,"S5","Heat",2,"FEMALE","CR"
"116","HEAT_S6",12.5088563653183,"S6","Heat",4,"FEMALE","CR"
"117","POST_S4",7.00242309743473,"S4","Acc",3,"MALE","CR"
"118","POST_S6",16.0418060544666,"S6","Acc",4,"FEMALE","CR"
"119","POST_S9",9.77398223972813,"S9","Acc",1,"MALE","CR"
"120","PRE_S4",5.07730252588516,"S4","Day1",3,"MALE","CR"
"121","PRE_S5",9.5107253968963,"S5","Day1",2,"FEMALE","CR"
"122","PRE_S6",6.19441068776149,"S6","Day1",4,"FEMALE","CR"
"123","PRE_S2",18.2335008651182,"S2","Day1",1,"MALE","CR"
"124","PRE_S9",12.7239128330571,"S9","Day1",1,"MALE","CR"
"125","HEAT_S9",10.0881761199522,"S9","Heat",1,"MALE","CR"
"126","DIET_S2",7.00152817376227,"S2","Diet",1,"MALE","CR"
"127","POST_S5",20.5332083918204,"S5","Acc",2,"FEMALE","CR"
"128","POST_S3",5.95641046656701,"S3","Acc",2,"FEMALE","CR"
"129","HEAT_S2",5.74026776982779,"S2","Heat",1,"MALE","CR"
"130","POST_S2",5.81919274441497,"S2","Acc",1,"MALE","CR"
"131","COLD_S9",14.6226023224754,"S9","Cold",1,"MALE","CR"
"132","COLD_S3",8.55675364393273,"S3","Cold",2,"FEMALE","CR"
"133","PRE_S3",10.0507270800078,"S3","Day1",2,"FEMALE","CR"
"134","COLD_S10",7.74239101462769,"S10","Cold",3,"MALE","CR"
"135","COLD_S11",8.62867006169632,"S11","Cold",2,"FEMALE","CR"
"136","COLD_S12",13.5782133496348,"S12","Cold",5,"MALE","CR"
"137","COLD_S16",9.00007480936891,"S16","Cold",5,"MALE","CR"
"138","COLD_S18",5.78117166838319,"S18","Cold",4,"FEMALE","CR"
"139","COLD_S21",4.41027964244395,"S21","Cold",1,"MALE","CR"
"140","COLD_S22",5.08573763222698,"S22","Cold",4,"FEMALE","CR"
"141","COLD_S23",4.72449268557918,"S23","Cold",3,"MALE","CR"
"142","COLD_S24",10.3877506318934,"S24","Cold",5,"MALE","CR"
"143","COLD_S31",7.25865663183209,"S31","Cold",6,"MALE","CR"
"144","COLD_S34",8.29247366740464,"S34","Cold",6,"MALE","CR"
"145","COLD_S35",5.85968195241802,"S35","Cold",4,"FEMALE","CR"
"146","DIET_S10",9.1267281331213,"S10","Diet",3,"MALE","CR"
"147","DIET_S11",9.09962630009499,"S11","Diet",2,"FEMALE","CR"
"148","DIET_S12",9.67848623676448,"S12","Diet",5,"MALE","CR"
"149","DIET_S13",8.15202091568965,"S13","Diet",1,"MALE","CR"
"150","DIET_S14",11.9186196726822,"S14","Diet",5,"MALE","CR"
"151","DIET_S16",14.2900977929983,"S16","Diet",5,"MALE","CR"
"152","DIET_S19",5.68335135619135,"S19","Diet",2,"FEMALE","CR"
"153","DIET_S23",6.13116909460579,"S23","Diet",3,"MALE","CR"
"154","DIET_S24",14.6703157588868,"S24","Diet",5,"MALE","CR"
"155","DIET_S28",9.1765990607028,"S28","Diet",1,"MALE","CR"
"156","DIET_S31",5.82049225157072,"S31","Diet",6,"MALE","CR"
"157","DIET_S34",7.62100722047841,"S34","Diet",6,"MALE","CR"
"158","DIET_S35",9.58813575803081,"S35","Diet",4,"FEMALE","CR"
"159","DIET_S36",6.0271997168361,"S36","Diet",6,"MALE","CR"
"160","HEAT_S10",15.2662210007584,"S10","Heat",3,"MALE","CR"
"161","HEAT_S11",6.40351519972216,"S11","Heat",2,"FEMALE","CR"
"162","HEAT_S12",3.68187863178853,"S12","Heat",5,"MALE","CR"
"163","HEAT_S13",14.9068001902215,"S13","Heat",1,"MALE","CR"
"164","HEAT_S14",5.22040405163407,"S14","Heat",5,"MALE","CR"
"165","HEAT_S16",5.66542324347552,"S16","Heat",5,"MALE","CR"
"166","HEAT_S18",10.9071928904519,"S18","Heat",4,"FEMALE","CR"
"167","HEAT_S19",12.7003769279605,"S19","Heat",2,"FEMALE","CR"
"168","HEAT_S21",13.2660867396961,"S21","Heat",1,"MALE","CR"
"169","HEAT_S22",13.9760976871175,"S22","Heat",4,"FEMALE","CR"
"170","HEAT_S23",10.7163202568579,"S23","Heat",3,"MALE","CR"
"171","HEAT_S24",8.843284806869,"S24","Heat",5,"MALE","CR"
"172","HEAT_S31",9.7662688685439,"S31","Heat",6,"MALE","CR"
"173","HEAT_S35",10.2275774654323,"S35","Heat",4,"FEMALE","CR"
"174","HEAT_S36",14.0915741907922,"S36","Heat",6,"MALE","CR"
"175","POST_S10",9.30990427105215,"S10","Acc",3,"MALE","CR"
"176","POST_S11",8.06943879618157,"S11","Acc",2,"FEMALE","CR"
"177","POST_S12",13.0602909475965,"S12","Acc",5,"MALE","CR"
"178","POST_S14",4.58984912015512,"S14","Acc",5,"MALE","CR"
"179","POST_S16",7.37969178888976,"S16","Acc",5,"MALE","CR"
"180","POST_S18",7.13556812316884,"S18","Acc",4,"FEMALE","CR"
"181","POST_S19",8.2788459939122,"S19","Acc",2,"FEMALE","CR"
"182","POST_S21",18.5977581073327,"S21","Acc",1,"MALE","CR"
"183","POST_S24",9.56483898617876,"S24","Acc",5,"MALE","CR"
"184","POST_S25",10.7448214564489,"S25","Acc",5,"MALE","CR"
"185","POST_S27",8.81788397650267,"S27","Acc",3,"MALE","CR"
"186","POST_S28",7.39611019101825,"S28","Acc",1,"MALE","CR"
"187","POST_S31",3.91726372612789,"S31","Acc",6,"MALE","CR"
"188","POST_S34",2.69916493684844,"S34","Acc",6,"MALE","CR"
"189","POST_S36",14.52138512578,"S36","Acc",6,"MALE","CR"
"190","PRE_S10",9.06548549501074,"S10","Day1",3,"MALE","CR"
"191","PRE_S11",11.8183986233733,"S11","Day1",2,"FEMALE","CR"
"192","PRE_S12",6.81651297581176,"S12","Day1",5,"MALE","CR"
"193","PRE_S13",12.5169020697408,"S13","Day1",1,"MALE","CR"
"194","PRE_S14",5.27833753296033,"S14","Day1",5,"MALE","CR"
"195","PRE_S15",4.89734944419153,"S15","Day1",4,"FEMALE","CR"
"196","PRE_S16",5.40943967574917,"S16","Day1",5,"MALE","CR"
"197","PRE_S22",7.06240891520668,"S22","Day1",4,"FEMALE","CR"
"198","PRE_S24",11.173615764196,"S24","Day1",5,"MALE","CR"
"199","PRE_S25",4.38398750101233,"S25","Day1",5,"MALE","CR"
"200","PRE_S27",6.05334353696624,"S27","Day1",3,"MALE","CR"
"201","PRE_S28",10.76565881451,"S28","Day1",1,"MALE","CR"
"202","PRE_S29",10.4771236538205,"S29","Day1",6,"MALE","CR"
"203","PRE_S31",4.20074971394858,"S31","Day1",6,"MALE","CR"
"204","PRE_S33",8.78360475575804,"S33","Day1",6,"MALE","CR"
"205","PRE_S34",2.77491041172177,"S34","Day1",6,"MALE","CR"
"206","PRE_S35",3.65604244940753,"S35","Day1",4,"FEMALE","CR"
"207","PRE_S36",3.88773994616627,"S36","Day1",6,"MALE","CR"
"208","COLD_S36",13.9960308550323,"S36","Cold",6,"MALE","CR"
"209","PRE_S19",11.3622341054104,"S19","Day1",2,"FEMALE","CR"
"210","PRE_S23",10.8994066899983,"S23","Day1",3,"MALE","CR"
"211","POST_S23",12.1747266680532,"S23","Acc",3,"MALE","CR"
"212","POST_S13",15.7044978554436,"S13","Acc",1,"MALE","CR"
"213","DIET_S18",7.11405861723839,"S18","Diet",4,"FEMALE","CR"
"214","POST_S22",6.85602792092851,"S22","Acc",4,"FEMALE","CR"
"215","PRE_S18",11.3871557979202,"S18","Day1",4,"FEMALE","CR"
"216","COLD_S13",9.75937512478395,"S13","Cold",1,"MALE","CR"
"217","COLD_S14",12.6925298659608,"S14","Cold",5,"MALE","CR"
"218","PRE_S21",5.16970231272646,"S21","Day1",1,"MALE","CR"
"219","COLD_S27",5.79265938008098,"S27","Cold",3,"MALE","CR"
"220","PRE_S17",7.92733532956801,"S17","Day1",3,"MALE","CR"
"221","COLD_S19",4.99202733031033,"S19","Cold",2,"FEMALE","CR"
"222","HEAT_S27",15.1736136021393,"S27","Heat",3,"MALE","CR"
"223","COLD_S28",4.64715076602655,"S28","Cold",1,"MALE","CR"
"224","HEAT_S28",10.6888410315619,"S28","Heat",1,"MALE","CR"
"225","POST_S35",12.2237850851241,"S35","Acc",4,"FEMALE","CR"
