"","sample_id","Q","FDis","D_q","MD_q","FD_q","individual_id","treatment","cage","sex","species"
"113","HEAT_S3",4.8565012239047,3.93333144945512,10.5709524523069,51.3378435224667,542.689902879965,"S3","Heat",2,"FEMALE","CR"
"114","HEAT_S4",5.20292513621033,4.06271360713829,12.7525623860201,66.3506273893143,846.140515133804,"S4","Heat",3,"MALE","CR"
"115","HEAT_S5",5.54654950781701,4.14447559666137,16.0432719746418,88.9848022747239,1427.60738450312,"S5","Heat",2,"FEMALE","CR"
"116","HEAT_S6",5.53419768412868,4.2040016910946,13.1942706237105,73.0197019295059,963.44170812058,"S6","Heat",4,"FEMALE","CR"
"117","POST_S4",5.11410561733609,4.25833569958948,8.40307234548029,42.9741994849023,361.115307260735,"S4","Acc",3,"MALE","CR"
"118","POST_S6",5.43041883452271,3.9893506946539,17.4145115785499,94.568091670171,1646.85712735156,"S6","Acc",4,"FEMALE","CR"
"119","POST_S9",5.12076584184712,3.95580658628749,11.0996740982487,56.8388319779471,630.89251108033,"S9","Acc",1,"MALE","CR"
"120","PRE_S4",3.88633556711597,3.16238850878517,8.96824817579449,34.853621860313,312.575930668583,"S4","Day1",3,"MALE","CR"
"121","PRE_S5",5.11557253408291,3.9717347686937,10.4182284709213,53.2952034196458,555.241605630099,"S5","Day1",2,"FEMALE","CR"
"122","PRE_S6",4.07157023760539,3.30890534242398,9.18531698279603,37.3986632501236,343.51857668523,"S6","Day1",4,"FEMALE","CR"
"123","PRE_S2",5.49923776950639,4.09802329334286,19.6555451950107,108.090516516643,2124.57803254492,"S2","Day1",1,"MALE","CR"
"124","PRE_S9",5.06326880298964,3.90425564697615,14.6393696680925,74.1230637358856,1085.11493096121,"S9","Day1",1,"MALE","CR"
"125","HEAT_S9",5.10478170852184,3.94191298500085,11.4835674135335,58.6211048811834,673.17940975889,"S9","Heat",1,"MALE","CR"
"126","DIET_S2",4.9697585830478,4.07460140875374,8.56425904705031,42.5622999065231,364.514562037709,"S2","Diet",1,"MALE","CR"
"127","POST_S5",6.35667498776704,4.72929508411472,20.8380550456582,132.460743302448,2760.22426032521,"S5","Acc",2,"FEMALE","CR"
"128","POST_S3",4.36164883465399,3.53432950549692,9.1412016212988,39.8707113988751,364.466211681734,"S3","Acc",2,"FEMALE","CR"
"129","HEAT_S2",4.06557497631906,3.19589773505863,8.72701384235452,35.4803290954666,309.637323147431,"S2","Heat",1,"MALE","CR"
"130","POST_S2",3.71841668289462,2.99093149817372,12.0056713731411,44.6420887232381,535.958246621804,"S2","Acc",1,"MALE","CR"
"131","COLD_S9",5.67097297862957,4.22463187242181,15.4490715376426,87.6112672348862,1353.51273501528,"S9","Cold",1,"MALE","CR"
"132","COLD_S3",4.72551823445219,3.71939024095137,12.5444669412573,59.2791072723942,743.624801485796,"S3","Cold",2,"FEMALE","CR"
"133","PRE_S3",4.891956853309,3.76623507331243,11.2424039712884,54.9973551550128,618.302484005075,"S3","Day1",2,"FEMALE","CR"
"134","COLD_S10",4.42187076676228,3.439898314763,12.7333743969183,56.3053360079725,716.956923933801,"S10","Cold",3,"MALE","CR"
"135","COLD_S11",5.19684140925495,4.06991458056116,9.70546825428562,50.4377793200808,489.522266007708,"S11","Cold",2,"FEMALE","CR"
"136","COLD_S12",5.52290693837194,4.13005377895555,14.7534774450159,81.4820829461923,1202.14407291956,"S12","Cold",5,"MALE","CR"
"137","COLD_S16",4.78731616682834,3.6823318882174,12.2269718130447,58.5343798319435,715.698212299227,"S16","Cold",5,"MALE","CR"
"138","COLD_S18",3.83779897140732,3.00866960691419,12.1265596572445,46.5392981792823,564.361575777355,"S18","Cold",4,"FEMALE","CR"
"139","COLD_S21",3.54624223713787,3.01232042550557,8.3093326490887,29.466906402627,244.85032743899,"S21","Cold",1,"MALE","CR"
"140","COLD_S22",3.33226812177105,2.69840591529274,10.1220013588403,33.7292224565868,341.407235538199,"S22","Cold",4,"FEMALE","CR"
"141","COLD_S23",4.59349924854494,3.99116856718384,5.84819038739487,26.8636581498461,157.103787362192,"S23","Cold",3,"MALE","CR"
"142","COLD_S24",5.34631088053969,4.14885181898941,13.0554338334522,69.7984079539515,911.248496723117,"S24","Cold",5,"MALE","CR"
"143","COLD_S31",4.53811217829977,3.65175287094308,9.11660596639229,41.3721805608452,377.173868143661,"S31","Cold",6,"MALE","CR"
"144","COLD_S34",4.8142685128799,3.73292932152962,9.29597550772628,44.7533221833494,416.025786905799,"S34","Cold",6,"MALE","CR"
"145","COLD_S35",3.74675085063835,2.94287848205041,10.144325314777,38.0082595022929,385.568149039725,"S35","Cold",4,"FEMALE","CR"
"146","DIET_S10",5.56091321600962,4.32263490590878,9.85357690561789,54.7948860394177,539.92562362397,"S10","Diet",3,"MALE","CR"
"147","DIET_S11",5.32687510504931,4.14622131809289,10.3285437571327,55.0188626112824,568.2647299483,"S11","Diet",2,"FEMALE","CR"
"148","DIET_S12",5.31666532638424,4.25103602490007,12.3854001369744,65.8490274616465,815.566553743109,"S12","Diet",5,"MALE","CR"
"149","DIET_S13",5.36032357579764,4.27890483899026,9.41166885766169,50.4495904653244,474.814839464279,"S13","Diet",1,"MALE","CR"
"150","DIET_S14",5.24926396435913,4.02496557145518,13.6295560403319,71.5451373727279,975.128459234842,"S14","Diet",5,"MALE","CR"
"151","DIET_S16",5.82260914473743,4.31047151950726,15.2030682721805,88.5215243496659,1345.79877824546,"S16","Diet",5,"MALE","CR"
"152","DIET_S19",5.09958841281662,4.30719652628907,7.07681682539733,36.0888530824219,255.394202702975,"S19","Diet",2,"FEMALE","CR"
"153","DIET_S23",6.00558154335876,4.96694003573737,6.60827378711444,39.686527089356,262.259436666198,"S23","Diet",3,"MALE","CR"
"154","DIET_S24",5.52373705863562,4.14173772437247,16.2040247592775,89.5067720618704,1450.36995061356,"S24","Diet",5,"MALE","CR"
"155","DIET_S28",5.10415375011183,3.9565102689107,10.8836919368138,55.5520370143502,604.611257326668,"S28","Diet",1,"MALE","CR"
"156","DIET_S31",5.06082463739889,4.2022258588632,6.9337358550508,35.0904212444572,243.307711951529,"S31","Diet",6,"MALE","CR"
"157","DIET_S34",4.59344211669414,3.81646422141885,9.0712360170794,41.6681975713253,377.982054575787,"S34","Diet",6,"MALE","CR"
"158","DIET_S35",4.67496436429546,3.57214265611535,12.6873298486953,59.3128149207125,752.521247153694,"S35","Diet",4,"FEMALE","CR"
"159","DIET_S36",3.97587736263211,3.14988082213986,10.3372923521839,41.0998066539582,424.860717000201,"S36","Diet",6,"MALE","CR"
"160","HEAT_S10",5.06551714836312,3.73556139199789,17.1725777453254,86.9879870505444,1493.80797053483,"S10","Heat",3,"MALE","CR"
"161","HEAT_S11",4.57224646963932,3.7446728096757,8.9536075085949,40.9381003217091,366.543682428066,"S11","Heat",2,"FEMALE","CR"
"162","HEAT_S12",2.77573694960106,2.32533537083936,13.1081760877922,36.3848487087618,476.939003802127,"S12","Heat",5,"MALE","CR"
"163","HEAT_S13",5.72487416705437,4.29340240848211,15.632971527592,89.4967948526076,1399.10084574155,"S13","Heat",1,"MALE","CR"
"164","HEAT_S14",4.49393426321064,3.80544992070383,8.77659519022711,39.4414418396913,346.161568745857,"S14","Heat",5,"MALE","CR"
"165","HEAT_S16",3.98745240573327,3.20327728685275,9.61773113955092,38.3502451700981,368.842347181865,"S16","Heat",5,"MALE","CR"
"166","HEAT_S18",5.31731596378901,4.1876874917564,13.4554868165804,71.5470748503554,962.700722413846,"S18","Heat",4,"FEMALE","CR"
"167","HEAT_S19",5.87874395328915,4.49185963104255,13.6154149265975,80.0415381712577,1089.79875356476,"S19","Heat",2,"FEMALE","CR"
"168","HEAT_S21",5.50278143302189,4.19341528743916,13.9703752495385,76.8759215355092,1073.98547150514,"S21","Heat",1,"MALE","CR"
"169","HEAT_S22",5.66709302004225,4.2663595758708,15.4250216472353,87.4150325110478,1348.37876877669,"S22","Heat",4,"FEMALE","CR"
"170","HEAT_S23",4.77361961083223,3.61357521750071,16.3127784652165,77.8709991887194,1270.29235863064,"S23","Heat",3,"MALE","CR"
"171","HEAT_S24",5.66721869799848,4.49631136632908,10.1051167763157,57.2679067401943,578.69888514482,"S24","Heat",5,"MALE","CR"
"172","HEAT_S31",5.06188743517403,3.84634116507809,11.606151431016,58.7490320993869,681.850162971104,"S31","Heat",6,"MALE","CR"
"173","HEAT_S35",5.02067842991627,3.84458269363719,11.8749959155223,59.6205358484068,707.993619681083,"S35","Heat",4,"FEMALE","CR"
"174","HEAT_S36",5.5539517561478,4.17272600456228,15.1478236590948,84.1302818132469,1274.39067329702,"S36","Heat",6,"MALE","CR"
"175","POST_S10",5.74913512750982,4.47657486799121,10.0760192334672,57.928396120591,583.687633474982,"S10","Acc",3,"MALE","CR"
"176","POST_S11",4.63164011312408,3.54729675052933,9.69681642432159,44.9121639204883,435.505008756015,"S11","Acc",2,"FEMALE","CR"
"177","POST_S12",5.68832855921815,4.38985693578815,14.5466755279597,82.7462698473727,1203.68313861872,"S12","Acc",5,"MALE","CR"
"178","POST_S14",3.5121375385913,2.94893782124513,11.1271867866168,39.0802104121938,434.852800916767,"S14","Acc",5,"MALE","CR"
"179","POST_S16",5.28461237727597,4.35754641533968,9.16671475690711,48.4425342633095,444.058893693458,"S16","Acc",5,"MALE","CR"
"180","POST_S18",5.0203534688177,4.20849874564641,10.9030745723858,54.737288250255,596.804735682707,"S18","Acc",4,"FEMALE","CR"
"181","POST_S19",4.52310688392638,3.42656700266575,12.2246536207552,55.2934149456535,675.942845219302,"S19","Acc",2,"FEMALE","CR"
"182","POST_S21",5.67183992249061,4.21985823270465,19.3853736138285,109.950735975309,2131.43609599677,"S21","Acc",1,"MALE","CR"
"183","POST_S24",5.3241937127436,4.18318997085591,11.3747852249639,60.5615599785617,688.87473764491,"S24","Acc",5,"MALE","CR"
"184","POST_S25",5.1896465011893,4.0461269864987,13.3278562495417,69.1668625537879,921.846001348692,"S25","Acc",5,"MALE","CR"
"185","POST_S27",5.39482961041623,4.36630368392844,10.5963932939175,57.1657363056422,605.750624830963,"S27","Acc",3,"MALE","CR"
"186","POST_S28",5.02511988363771,4.11126285627776,8.57711956209843,43.1010540558388,369.682893889397,"S28","Acc",1,"MALE","CR"
"187","POST_S31",3.32689390569773,2.76212624104867,10.7397162863543,35.7298966619948,383.728953090582,"S31","Acc",6,"MALE","CR"
"188","POST_S34",2.70757392321422,2.39424074399321,8.0448400765437,21.7819992076784,175.232700173174,"S34","Acc",6,"MALE","CR"
"189","POST_S36",5.49906986109187,4.1596913302356,17.3248565304547,95.2705963943642,1650.54941410322,"S36","Acc",6,"MALE","CR"
"190","PRE_S10",5.03963108685012,3.90517274994229,10.2194095147822,51.5020538799481,526.320579451566,"S10","Day1",3,"MALE","CR"
"191","PRE_S11",4.82515171422001,3.61000318291654,14.6166870835933,70.5277327376177,1030.88180014106,"S11","Day1",2,"FEMALE","CR"
"192","PRE_S12",4.49154184872425,3.55996165024068,8.8825171826664,39.8961976479584,354.378661131046,"S12","Day1",5,"MALE","CR"
"193","PRE_S13",4.74740044111725,3.56887678238382,15.5006738012522,73.5879056416792,1140.66212106899,"S13","Day1",1,"MALE","CR"
"194","PRE_S14",4.40664927638338,3.62278338770705,6.53698786590263,28.8062128490068,188.305863856566,"S14","Day1",5,"MALE","CR"
"195","PRE_S15",4.25473073893621,3.59742566141804,6.31762644327001,26.8797994252971,169.816531639051,"S15","Day1",4,"FEMALE","CR"
"196","PRE_S16",4.25266901766013,3.41285933038276,6.27493214006122,26.6852094999581,167.447878755554,"S16","Day1",5,"MALE","CR"
"197","PRE_S22",4.63347280790868,3.72098551304534,9.71882619607979,45.0319169043262,437.657373669454,"S22","Day1",4,"FEMALE","CR"
"198","PRE_S24",5.17996092586474,3.97322267985856,12.8567050504742,66.5972297968243,856.220940676422,"S24","Day1",5,"MALE","CR"
"199","PRE_S25",4.12488457922321,3.53084294374932,5.55388361524709,22.9091288793332,127.234635522513,"S25","Day1",5,"MALE","CR"
"200","PRE_S27",3.09171508049788,2.45158444730866,11.7653515549028,36.3751148296522,427.966013820818,"S27","Day1",3,"MALE","CR"
"201","PRE_S28",5.00836011201977,3.86827072177508,12.0533120406463,60.3673272421006,727.626232308846,"S28","Day1",1,"MALE","CR"
"202","PRE_S29",4.63384417843956,3.69035084953164,11.9096260239356,55.1873512184065,657.26071426281,"S29","Day1",6,"MALE","CR"
"203","PRE_S31",3.97928491353027,3.45412482520267,5.37083020955967,21.3720636260334,114.785724963332,"S31","Day1",6,"MALE","CR"
"204","PRE_S33",4.62173377047263,3.68203507586963,10.7907474843613,49.871962057115,538.155749107974,"S33","Day1",6,"MALE","CR"
"205","PRE_S34",2.30617811300982,1.97669491292713,8.36498240801231,19.2911393450702,161.370041252026,"S34","Day1",6,"MALE","CR"
"206","PRE_S35",2.60777853760456,2.17480949379399,9.40521885208872,24.5267278639508,230.67924328608,"S35","Day1",4,"FEMALE","CR"
"207","PRE_S36",2.72100077230438,2.19865841003659,8.96651510211234,24.3978945177265,218.764089652939,"S36","Day1",6,"MALE","CR"
"208","COLD_S36",5.7556439667164,4.34727391705939,15.0465135211775,86.6023747682819,1303.06380291703,"S36","Cold",6,"MALE","CR"
"209","PRE_S19",5.07003554705698,3.88948175205141,12.3951662159203,62.8439333263957,778.960999242887,"S19","Day1",2,"FEMALE","CR"
"210","PRE_S23",5.01187344515781,3.88273906516351,11.8089374740933,59.1849001419374,698.910785186596,"S23","Day1",3,"MALE","CR"
"211","POST_S23",6.48534707583292,5.21087971938446,12.6550453380419,82.0723612776029,1038.62945296822,"S23","Acc",3,"MALE","CR"
"212","POST_S13",5.75592765773666,4.37369596097667,16.7778078982551,96.571848517759,1620.26392281035,"S13","Acc",1,"MALE","CR"
"213","DIET_S18",4.04360946727087,3.18216074402078,11.5826387502384,46.8356677064424,542.480619669928,"S18","Diet",4,"FEMALE","CR"
"214","POST_S22",5.35150959775619,4.40159460624879,8.37845239791794,44.8373684218012,375.667756969971,"S22","Acc",4,"FEMALE","CR"
"215","PRE_S18",4.98479446014469,3.79845475122781,12.5193591958528,62.4064323640483,781.288542897211,"S18","Day1",4,"FEMALE","CR"
"216","COLD_S13",5.27820856653298,4.1144566919742,10.8265300669834,57.1446837453787,618.6786367376,"S13","Cold",1,"MALE","CR"
"217","COLD_S14",5.68980995932746,4.25048332970888,13.4620198303993,76.5963345036699,1031.1413740243,"S14","Cold",5,"MALE","CR"
"218","PRE_S21",3.20082324077867,2.47946396466923,13.2969024134724,42.5610342754084,565.929919376557,"S21","Day1",1,"MALE","CR"
"219","COLD_S27",4.14560954262479,3.42079452596591,8.36827307285538,34.6915927061194,290.308721097085,"S27","Cold",3,"MALE","CR"
"220","PRE_S17",4.9920173677083,4.1007004387311,8.84265178769725,44.1426713007815,390.338271291588,"S17","Day1",3,"MALE","CR"
"221","COLD_S19",3.62138279080027,2.9169611841071,10.6801324877966,38.6768479947736,413.073860794554,"S19","Cold",2,"FEMALE","CR"
"222","HEAT_S27",5.76316775975569,4.34699731149354,16.276908442262,93.8065539629398,1526.88069013888,"S27","Heat",3,"MALE","CR"
"223","COLD_S28",3.02141519406157,2.38930097981748,11.9653146913244,36.1521836100958,432.572253673337,"S28","Cold",1,"MALE","CR"
"224","HEAT_S28",5.17480101140546,4.02267864108321,12.797533649782,66.2246900743871,847.512699673351,"S28","Heat",1,"MALE","CR"
"225","POST_S35",5.05374214604696,3.71354087243732,14.0945798636522,71.2303722877637,1003.96217092756,"S35","Acc",4,"FEMALE","CR"
